Meter,Activation_Date,Total_Load,Active_Days,Per_Day_Avg_Load,Monthly_Avg_Load,Active_Month_Count
MT_001,2012-01-01,556923.8578680203,1096,508.14,15470.11,36
MT_002,2012-01-01,2912884.0682788044,1096,2657.74,80913.45,36
MT_003,2012-01-01,409308.42745438765,1096,373.46,11369.68,36
MT_004,2012-01-01,11526689.024390243,1096,10517.05,320185.81,36
MT_005,2012-01-01,5223092.682926829,1096,4765.6,145085.91,36
MT_006,2012-01-01,19807708.333333336,1096,18072.73,550214.12,36
MT_007,2012-01-01,634134.5392877331,1096,578.59,17614.85,36
MT_008,2012-01-01,26844956.22895623,1096,24493.57,745693.23,36
MT_009,2012-01-01,5606720.27972028,1096,5115.62,155742.23,36
MT_010,2012-01-01,5919455.913978495,1096,5400.96,164429.33,36
MT_011,2012-01-01,4184190.014903128,1096,3817.69,116227.5,36
MT_012,2013-08-29,6915157.446808511,490,14112.57,406773.97,17
MT_013,2012-01-01,7729466.832504146,1096,7052.43,214707.41,36
MT_014,2012-01-01,4699943.841735801,1096,4288.27,130554.0,36
MT_015,2013-06-04,2126698.8636363638,576,3692.19,111931.52,19
MT_016,2012-01-01,3473657.1753986333,1096,3169.4,96490.48,36
MT_017,2012-01-01,5177456.424079065,1096,4723.96,143818.23,36
MT_018,2012-01-01,25807415.33546326,1096,23546.91,716872.65,36
MT_019,2012-01-01,867773.8693467334,1096,791.76,24104.83,36
MT_020,2012-01-01,4296012.334801761,1096,3919.72,119333.68,36
MT_021,2012-01-01,17077740.837696336,1096,15581.88,474381.69,36
MT_022,2012-01-01,2883587.1731008724,1096,2631.01,80099.64,36
MT_023,2012-01-01,1034616.7546174139,1096,943.99,28739.35,36
MT_024,2012-03-30,3002412.8943758574,1007,2981.54,88306.26,34
MT_025,2012-01-01,22913897.19626168,1096,20906.84,636497.14,36
MT_026,2012-01-01,2197492.3728813557,1096,2005.01,61041.45,36
MT_027,2012-01-01,2101330.0852618767,1096,1917.27,58370.28,36
MT_028,2012-01-01,7069393.647738211,1096,6450.18,196372.05,36
MT_029,2012-01-01,8254040.075140888,1096,7531.06,229278.89,36
MT_030,2013-05-09,2165300.5143277002,602,3596.84,108265.03,20
MT_031,2012-01-01,9446853.618421054,1096,8619.39,262412.6,36
MT_032,2012-11-16,2161480.642115203,776,2785.41,83133.87,26
MT_033,2012-07-13,3485141.9031719533,902,3863.79,116171.4,30
MT_034,2012-01-01,1479243.016759776,1096,1349.67,41090.08,36
MT_035,2012-01-01,12325841.068917021,1096,11246.21,342384.47,36
MT_036,2012-01-01,3846003.442340791,1096,3509.13,106833.43,36
MT_037,2012-01-01,11693464.216634426,1096,10669.22,324818.45,36
MT_038,2012-01-01,12606634.816753928,1096,11502.4,350184.3,36
MT_039,2013-10-03,1831100.5098324835,455,4024.4,122073.37,15
MT_040,2012-01-01,10478901.0989011,1096,9561.04,291080.59,36
MT_041,2013-09-13,4041471.5909090913,475,8508.36,252591.97,16
MT_042,2012-01-01,4452551.461245235,1096,4062.55,123681.99,36
MT_043,2012-01-01,114216681.81818183,1096,104212.3,3172685.61,36
MT_044,2012-01-01,3200599.2932862192,1096,2920.25,88905.54,36
MT_045,2012-01-01,9910054.145516073,1096,9042.02,275279.28,36
MT_046,2012-01-01,13827161.137440769,1096,12616.02,384087.81,36
MT_047,2012-01-01,2951435.9110169495,1096,2692.92,81984.33,36
MT_048,2012-01-01,1619123.495552067,1096,1477.3,44975.65,36
MT_049,2012-01-01,98084663.04347825,1096,89493.31,2724573.97,36
MT_050,2012-01-01,17360736.654804267,1096,15840.09,482242.68,36
MT_051,2012-01-01,5820644.760213144,1096,5310.81,161684.58,36
MT_052,2012-01-01,3739331.790123456,1096,3411.8,103870.33,36
MT_053,2012-01-01,7047755.581668626,1096,6430.43,195770.99,36
MT_054,2012-01-01,7343359.712230217,1096,6700.15,203982.21,36
MT_055,2012-01-01,2489893.0817610063,1096,2271.8,69163.7,36
MT_056,2012-01-01,3955794.402035624,1096,3609.3,109883.18,36
MT_057,2012-01-01,2585489.7785349237,1096,2359.02,71819.16,36
MT_058,2012-01-01,8982525.28548124,1096,8195.73,249514.59,36
MT_059,2012-01-01,12542766.461808603,1096,11444.13,348410.18,36
MT_060,2012-01-01,2883444.1087613287,1096,2630.88,80095.67,36
MT_061,2012-01-01,7962318.070318888,1096,7264.89,221175.5,36
MT_062,2012-01-01,6291987.551867218,1096,5740.86,174777.43,36
MT_063,2012-01-01,2377585.1910828026,1096,2169.33,66044.03,36
MT_064,2012-01-01,148577000.0,1096,135562.96,4127138.89,36
MT_065,2012-01-01,6632791.071428571,1096,6051.82,184244.2,36
MT_066,2012-01-01,4185191.4893617025,1096,3818.61,116255.32,36
MT_067,2012-01-01,20645226.720647775,1096,18836.89,573478.52,36
MT_068,2012-01-01,16366248.259860788,1096,14932.71,454618.01,36
MT_069,2012-01-01,17019237.97468354,1096,15528.5,472756.61,36
MT_070,2012-01-01,4366314.703925483,1096,3983.86,121286.52,36
MT_071,2012-01-01,4804448.83485309,1096,4383.62,133456.91,36
MT_072,2012-01-01,10013779.724655818,1096,9136.66,278160.55,36
MT_073,2012-01-01,4961439.637826962,1096,4526.86,137817.77,36
MT_074,2012-01-01,9384260.586319214,1096,8562.28,260673.91,36
MT_075,2012-01-01,5042659.491193738,1096,4600.97,140073.87,36
MT_076,2012-01-01,6352414.563106796,1096,5796.0,176455.96,36
MT_077,2012-01-01,3723222.043010752,1096,3397.1,103422.83,36
MT_078,2012-01-01,4234275.248560962,1096,3863.39,117618.76,36
MT_079,2012-01-01,3414011.3394755493,1096,3114.97,94833.65,36
MT_080,2012-01-01,1518042.405063291,1096,1385.08,42167.84,36
MT_081,2012-01-01,10487652.406417111,1096,9569.03,291323.68,36
MT_082,2012-01-01,4686029.069767442,1096,4275.57,130167.47,36
MT_083,2012-01-01,7519085.064292781,1096,6860.48,208863.47,36
MT_084,2012-01-01,23248626.582278483,1096,21212.25,645795.18,36
MT_085,2012-01-01,13049610.472541507,1096,11906.58,362489.18,36
MT_086,2012-01-01,46323621.05263157,1096,42266.08,1286767.25,36
MT_087,2012-01-01,12146232.189973613,1096,11082.33,337395.34,36
MT_088,2012-01-01,13377800.0,1096,12206.02,371605.56,36
MT_089,2012-01-01,20463507.936507937,1096,18671.08,568430.78,36
MT_090,2012-01-01,13574215.260545906,1096,12385.23,377061.54,36
MT_091,2012-01-01,14554741.827885257,1096,13279.87,404298.38,36
MT_092,2013-01-31,3475723.7798546213,700,4965.32,144821.82,24
MT_093,2012-01-01,2739565.482233503,1096,2499.6,76099.04,36
MT_094,2012-01-01,2717356.745831228,1096,2479.34,75482.13,36
MT_095,2012-01-01,1787292.2996333158,1096,1630.74,49647.01,36
MT_096,2012-01-01,1149457.3913043481,1096,1048.77,31929.37,36
MT_097,2012-01-01,19749357.142857146,1096,18019.49,548593.25,36
MT_098,2012-01-01,71686367.38056013,1096,65407.27,1991287.98,36
MT_099,2012-01-01,123086550.78125,1096,112305.25,3419070.86,36
MT_100,2012-01-01,6193984.687083889,1096,5651.45,172055.13,36
MT_101,2012-01-01,73542128.91986063,1096,67100.48,2042836.91,36
MT_102,2012-01-01,92042389.6961691,1096,83980.28,2556733.05,36
MT_103,2012-01-01,118286862.71186441,1096,107925.97,3285746.19,36
MT_104,2012-01-01,59688484.15841584,1096,54460.3,1658013.45,36
MT_105,2012-01-01,22956755.750273824,1096,20945.95,637687.66,36
MT_106,2014-01-14,1727026.5906932575,352,4906.33,143918.88,12
MT_107,2014-01-14,569315.3456998314,352,1617.37,47442.95,12
MT_108,2014-01-14,1003489.5604395603,352,2850.82,83624.13,12
MT_109,2014-02-18,2185191.4893617015,317,6893.35,198653.77,11
MT_110,2014-01-14,794251.3227513228,352,2256.4,66187.61,12
MT_111,2014-01-14,1782473.6842105263,352,5063.85,148539.47,12
MT_112,2014-02-12,1077035.541195477,323,3334.48,97912.32,11
MT_113,2014-01-14,1084435.9939759036,352,3080.78,90369.67,12
MT_114,2012-01-01,32601387.417218544,1096,29745.79,905594.09,36
MT_115,2014-01-14,792324.2999096651,352,2250.92,66027.02,12
MT_116,2014-02-18,1314535.9643539148,317,4146.8,119503.27,11
MT_117,2014-01-14,507389.03061224497,352,1441.45,42282.42,12
MT_118,2012-01-01,10254154.825737266,1096,9355.98,284837.63,36
MT_119,2012-01-01,8449697.872340426,1096,7709.58,234713.83,36
MT_120,2014-01-14,1347747.5117862755,352,3828.83,112312.29,12
MT_121,2014-01-14,3877889.4009216586,352,11016.73,323157.45,12
MT_122,2014-01-14,754603.3623910339,352,2143.76,62883.61,12
MT_123,2012-01-01,6532291.784702549,1096,5960.12,181452.55,36
MT_124,2011-01-01,39378602.8708134,1461,26953.18,820387.56,48
MT_125,2012-01-01,4028401.7725258493,1096,3675.55,111900.05,36
MT_126,2012-01-01,6190330.392943063,1096,5648.11,171953.62,36
MT_127,2012-07-01,5861555.18672199,914,6413.08,195385.17,30
MT_128,2012-01-01,31472629.244249724,1096,28715.9,874239.7,36
MT_129,2012-01-01,11701524.316676702,1096,10676.57,325042.34,36
MT_130,2012-01-01,4505549.450549453,1096,4110.9,125154.15,36
MT_131,2011-01-01,9756614.583333334,1461,6678.04,203262.8,48
MT_132,2011-01-01,1907191.3781841937,1461,1305.4,39733.15,48
MT_133,2014-03-13,114732.16689098251,294,390.25,11473.22,10
MT_134,2013-01-01,998287.0301291251,730,1367.52,41595.29,24
MT_135,2012-01-01,3402709.2602172787,1096,3104.66,94519.7,36
MT_136,2012-01-01,14029690.322580645,1096,12800.81,389713.62,36
MT_137,2012-01-01,7456874.466268146,1096,6803.72,207135.4,36
MT_138,2012-01-01,11988491.346877355,1096,10938.4,333013.65,36
MT_139,2012-01-01,41319465.15533165,1096,37700.24,1147762.92,36
MT_140,2012-01-01,6800923.076923078,1096,6205.22,188914.53,36
MT_141,2012-01-01,929573.9219712525,1096,848.15,25821.5,36
MT_142,2012-01-01,5846129.713423831,1096,5334.06,162392.49,36
MT_143,2012-01-01,17847785.169029444,1096,16284.48,495771.81,36
MT_144,2012-10-27,13885220.608575381,796,17443.74,514267.43,27
MT_145,2012-01-01,8136767.867690491,1096,7424.06,226021.33,36
MT_146,2012-01-07,8781251.790633608,1090,8056.19,243923.66,36
MT_147,2012-01-01,287670956.097561,1096,262473.5,7990859.89,36
MT_148,2012-01-01,36109275.791624114,1096,32946.42,1003035.44,36
MT_149,2012-01-01,2469349.413298567,1096,2253.06,68593.04,36
